ym,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,n_days_reported,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1989-08,156.83870967741936,5.055217950390922,-0.30663202217863095,156.2,31.0,-0.3678954229626496,0.6359241215054664,-0.14677944105643437,-0.29990780427553865,-0.8660254037844384,-0.5000000000000004,-0.36878861888039793
1989-09,700.5333333333333,6.5518419497032205,1.054853896678499,,15.0,,,,,-1.0,-1.8369701987210297e-16,-0.30663202217863095
1989-10,167.3548387096774,5.1201163409511885,-0.4403703123520035,,11.0,,,,,-0.8660254037844386,0.5000000000000001,1.054853896678499
1989-11,81.73333333333333,4.4034619153939465,-1.1417996589156116,89.0,30.0,-0.8120293553693483,,,,-0.5000000000000004,0.8660254037844384,-0.4403703123520035
1989-12,48.645161290322584,3.8845523440827554,-1.291246560510312,50.4,31.0,-1.2807027800602393,,,,-2.4492935982947064e-16,1.0,-1.1417996589156116
1990-01,65.54838709677419,4.1827886042132265,-0.6643696626994045,81.2,31.0,-0.36666098927140095,-1.3494374206727568,,,0.49999999999999994,0.8660254037844387,-1.291246560510312
1990-02,73.28571428571429,4.294365696115456,-0.3210030541693065,,,,,,,0.8660254037844386,0.5000000000000001,-0.6643696626994045
1990-03,77.35483870967742,4.348403131102313,-0.07451167066054865,142.6,28.0,0.8209664457154354,,,,1.0,6.123233995736766e-17,-0.3210030541693065
1990-04,42.96666666666667,3.760424621277032,-0.7850511591642269,92.8,30.0,-0.2768581359742313,,,,0.8660254037844387,-0.49999999999999983,-0.07451167066054865
1990-05,57.096774193548384,4.0447476210827285,-1.0116047869952345,65.7,31.0,-1.115166303652134,-0.6785937025896435,,,0.49999999999999994,-0.8660254037844387,-0.7850511591642269
1990-06,124.26666666666667,4.822429794143327,-0.22533759137407205,91.69999999999999,30.0,-0.054731281043569446,-0.9994065405608383,,,1.2246467991473532e-16,-1.0,-1.0116047869952345
